,Sample_ID,R1,R2,Original_ID,Output_ID
31,S0100-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0100_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0100_01_R2.fastq.gz,S0100-01,S0100-01
32,S0103-01_K064760,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064760_S51_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064760_S51_R2_001.fastq.gz,S0103-01,S0103-01
33,S0107-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0107_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0107_01_R2.fastq.gz,S0107-01,S0107-01
34,S0114-01_K064724,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064724_S15_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064724_S15_R2_001.fastq.gz,S0114-01,S0114-01
35,S0115-01_K064743,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064743_S34_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064743_S34_R2_001.fastq.gz,S0115-01,S0115-01
36,S0120-01_K064761,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064761_S52_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064761_S52_R2_001.fastq.gz,S0120-01,S0120-01
37,S0123-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0123_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0123_01_R2.fastq.gz,S0123-01,S0123-01
38,S0130-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0130_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0130_01_R2.fastq.gz,S0130-01,S0130-01
39,S0141-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0141_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0141_01_R2.fastq.gz,S0141-01,S0141-01
40,S0142-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0142_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0142_01_R2.fastq.gz,S0142-01,S0142-01
41,S0143-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0143_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0143_01_R2.fastq.gz,S0143-01,S0143-01
42,S0150-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0150_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0150_01_R2.fastq.gz,S0150-01,S0150-01
43,S0155-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0155_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0155_01_R2.fastq.gz,S0155-01,S0155-01
44,S0157-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0157_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0157_01_R2.fastq.gz,S0157-01,S0157-01
45,S0161-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0161_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0161_01_R2.fastq.gz,S0161-01,S0161-01
46,S0162-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0162_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0162_01_R2.fastq.gz,S0162-01,S0162-01
47,S0165-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0165_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0165_01_R2.fastq.gz,S0165-01,S0165-01
48,S0166-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0166_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0166_01_R2.fastq.gz,S0166-01,S0166-01
49,S0170-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0170_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0170_01_R2.fastq.gz,S0170-01,S0170-01
50,S0171-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0171_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0171_01_R2.fastq.gz,S0171-01,S0171-01
51,S0173-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0173_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0173_01_R2.fastq.gz,S0173-01,S0173-01
52,S0176-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0176_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0176_01_R2.fastq.gz,S0176-01,S0176-01
53,S0179-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0179_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0179_01_R2.fastq.gz,S0179-01,S0179-01
54,S0180-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0180_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0180_01_R2.fastq.gz,S0180-01,S0180-01
55,S0181-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0181_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0181_01_R2.fastq.gz,S0181-01,S0181-01
56,S0184-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0184_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0184_01_R2.fastq.gz,S0184-01,S0184-01
57,S0185-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0185_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0185_01_R2.fastq.gz,S0185-01,S0185-01
58,S0186-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0186_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0186_01_R2.fastq.gz,S0186-01,S0186-01
59,S0188-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0188_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0188_01_R2.fastq.gz,S0188-01,S0188-01
60,S0189-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0189_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0189_01_R2.fastq.gz,S0189-01,S0189-01
61,S0190-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0190_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0190_01_R2.fastq.gz,S0190-01,S0190-01
62,S0191-01_K064762,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064762_S53_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064762_S53_R2_001.fastq.gz,S0191-01,S0191-01
63,S0192-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0192_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0192_01_R2.fastq.gz,S0192-01,S0192-01
64,S0194-01_K064750,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064750_S41_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064750_S41_R2_001.fastq.gz,S0194-01,S0194-01
65,S0196-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0196_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0196_01_R2.fastq.gz,S0196-01,S0196-01
66,S0201-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0201_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0201_01_R2.fastq.gz,S0201-01,S0201-01
67,S0202-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0202_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0202_01_R2.fastq.gz,S0202-01,S0202-01
68,S0209-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0209_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0209_01_R2.fastq.gz,S0209-01,S0209-01
69,S0210-01_K064763,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064763_S54_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064763_S54_R2_001.fastq.gz,S0210-01,S0210-01
70,S0211-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0211_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0211_01_R2.fastq.gz,S0211-01,S0211-01
71,S0212-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0212_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0212_01_R2.fastq.gz,S0212-01,S0212-01
72,S0214-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0214_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0214_01_R2.fastq.gz,S0214-01,S0214-01
73,S0218-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0218_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0218_01_R2.fastq.gz,S0218-01,S0218-01
74,S0219-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0219_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0219_01_R2.fastq.gz,S0219-01,S0219-01
75,S0220-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0220_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0220_01_R2.fastq.gz,S0220-01,S0220-01
76,S0222-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0222_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0222_01_R2.fastq.gz,S0222-01,S0222-01
77,S0223-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0223_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0223_01_R2.fastq.gz,S0223-01,S0223-01
78,S0224-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0224_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0224_01_R2.fastq.gz,S0224-01,S0224-01
79,S0225-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0225_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0225_01_R2.fastq.gz,S0225-01,S0225-01
80,S0227-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0227_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0227_01_R2.fastq.gz,S0227-01,S0227-01
81,S0229-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0229_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0229_01_R2.fastq.gz,S0229-01,S0229-01
82,S0230-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0230_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0230_01_R2.fastq.gz,S0230-01,S0230-01
83,S0239-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0239_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0239_01_R2.fastq.gz,S0239-01,S0239-01
84,S0242-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0242_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0242_01_R2.fastq.gz,S0242-01,S0242-01
85,S0245-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0245_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0245_01_R2.fastq.gz,S0245-01,S0245-01
86,S0246-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0246_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0246_01_R2.fastq.gz,S0246-01,S0246-01
87,S0247-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0247_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0247_01_R2.fastq.gz,S0247-01,S0247-01
88,S0248-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0248_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0248_01_R2.fastq.gz,S0248-01,S0248-01
89,S0249-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0249_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0249_01_R2.fastq.gz,S0249-01,S0249-01
90,S0250-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0250_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0250_01_R2.fastq.gz,S0250-01,S0250-01
91,S0251-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0251_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0251_01_R2.fastq.gz,S0251-01,S0251-01
92,S0252-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0252_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0252_01_R2.fastq.gz,S0252-01,S0252-01
93,S0254-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0254_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0254_01_R2.fastq.gz,S0254-01,S0254-01
94,S0255-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0255_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0255_01_R2.fastq.gz,S0255-01,S0255-01
95,S0256-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0256_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0256_01_R2.fastq.gz,S0256-01,S0256-01
