Region,Start,End
NC_408,602787,602818
NC_409,604517,604601
NC_410,605592,605603
NC_411,606449,606550
NC_412,608536,608745
NC_413,610057,610187
NC_414,610884,611171
NC_415,612075,612254
NC_416,612904,613037
NC_417,614722,614834
NC_418,616832,616845
NC_419,618273,618304
NC_420,620866,620906
NC_421,622283,622328
NC_422,622647,622792
NC_423,625481,625561
NC_424,626441,626456
NC_425,628289,628297
NC_426,629732,630039
NC_427,631687,631742
NC_428,633035,633054
NC_429,634405,634415
NC_430,635505,635572
NC_431,635876,635934
NC_432,637464,637582
NC_433,637970,638031
NC_434,638917,639011
NC_435,639957,640227
NC_436,640905,641095
NC_437,642812,642888
NC_438,646256,646297
NC_439,648475,648535
NC_440,649673,649688
NC_441,650394,650406
NC_442,650746,650778
NC_443,651505,651528
NC_444,652756,652770
NC_445,653779,653878
NC_446,654740,654923
NC_447,655950,656009
NC_448,657471,657547
NC_449,658040,658320
NC_450,659341,659449
NC_451,660869,661002
NC_452,661270,661294
NC_453,663374,663486
NC_454,664819,665041
NC_455,665384,665850
NC_456,667243,667251
NC_457,668395,668578
NC_458,669746,669847
NC_459,671153,671165
NC_460,671952,671995
NC_461,675917,676237
NC_462,676997,677124
NC_463,677617,677709
NC_464,678330,678388
NC_465,679076,679228
NC_466,681863,681884
NC_467,684273,684409
NC_468,685927,685927
NC_469,686816,686820
NC_470,693233,693236
NC_471,694788,694838
NC_472,695486,695667
NC_473,696904,697153
NC_474,697801,697903
NC_475,698411,698523
NC_476,698995,699037
NC_477,699800,699855
NC_478,700168,700238
NC_479,701190,701405
NC_480,702015,702015
NC_481,702760,702812
NC_482,703200,703243
NC_483,704058,704751
NC_484,705910,705960
NC_485,706930,706947
NC_486,711408,711535
NC_487,713808,714201
NC_488,715267,715369
NC_489,716318,716409
NC_490,717060,717152
NC_491,717894,718024
NC_492,718690,718760
NC_493,719913,720004
NC_494,728307,728582
NC_495,729279,729326
NC_496,730167,730319
NC_497,731034,731112
NC_498,731365,731711
NC_499,731880,731929
NC_500,732822,732824
NC_501,733326,733736
NC_502,734223,734253
NC_503,734971,735021
NC_504,735451,735516
NC_505,736225,736297
NC_506,737204,737267
NC_507,738150,738296
NC_508,739161,739326
NC_509,740188,740233
NC_510,741140,741150
NC_511,742618,742718
NC_512,747946,748275
NC_513,748813,748848
NC_514,749930,749999
NC_515,751506,751516
NC_516,752597,752983
NC_517,753368,753461
NC_518,753618,753692
NC_519,754410,754684
NC_520,755226,755334
NC_521,756024,756136
NC_522,758501,758531
NC_523,759310,759806
NC_524,763326,763369
NC_525,767321,767683
NC_526,769598,769791
NC_527,770551,770581
NC_528,771425,771483
NC_529,773113,773122
NC_530,774062,774063
NC_531,775575,775585
NC_532,778906,778989
NC_533,779488,779542
NC_534,780041,780041
NC_535,780417,780720
NC_536,781312,781559
NC_537,782405,782484
NC_538,784591,784820
NC_539,786012,786148
NC_540,786947,787098
NC_541,787927,787939
NC_542,789412,790023
NC_543,793333,793334
NC_544,794526,794714
NC_545,795471,795518
NC_546,796932,796932
NC_547,798373,798832
NC_548,799445,799628
NC_549,799851,800486
NC_550,800793,800808
NC_551,802436,802527
NC_552,803371,803410
NC_553,805107,805109
NC_554,806167,806334
NC_555,808699,808745
NC_556,809646,809945
NC_557,810888,811372
NC_558,812623,812626
NC_559,812813,812975
NC_560,813375,813397
NC_561,813938,813939
NC_562,814309,814327
NC_563,814991,814992
NC_564,815631,815662
NC_565,818445,818536
NC_566,819641,819842
NC_567,821477,821506
NC_568,822854,822865
NC_569,823595,823682
NC_570,824640,824799
NC_571,826668,826669
NC_572,827471,827542
NC_573,828077,828139
NC_574,828893,829206
NC_575,829705,830061
NC_576,830611,830854
NC_577,831662,831775
NC_578,832304,832533
NC_579,832849,832980
NC_580,833509,833885
NC_581,834947,835153
NC_582,835682,835700
NC_583,838053,838450
NC_584,840857,840946
NC_585,841205,841227
NC_586,841657,841736
NC_587,841875,842032
NC_588,842279,842346
NC_589,843232,843241
NC_590,844415,844420
NC_591,845954,846158
NC_592,847914,848102
NC_593,850041,850341
NC_594,850528,850740
NC_595,851467,851607
NC_596,852352,852395
NC_597,854158,854266
NC_598,854687,854698
NC_599,855827,855924
NC_600,856471,856472
NC_601,856680,856681
NC_602,860711,860911
NC_603,862382,862411
NC_604,863159,863255
NC_605,864575,864585
NC_606,867390,867439
NC_607,868352,868406
NC_608,869764,870007
NC_609,871427,871430
NC_610,873293,873342
NC_611,876391,876817
NC_612,878441,878637
NC_613,879325,879339
NC_614,881041,881074
NC_615,882419,882523
NC_616,883435,883450
NC_617,884051,884071
NC_618,886647,886718
NC_619,887025,887136
NC_620,888637,889071
NC_621,890334,890387
NC_622,893274,893317
NC_623,894620,894630
NC_624,895629,895819
NC_625,898711,898830
NC_626,901331,901634
NC_627,902025,902110
NC_628,903695,903724
NC_629,904820,904904
NC_630,905088,905233
NC_631,906341,906422
NC_632,907293,907337
NC_633,908019,908180
NC_634,908484,908484
NC_635,909319,909610
NC_636,910843,910971
NC_637,912684,912725
NC_638,913503,913557
NC_639,914200,914256
NC_640,916312,916476
NC_641,917647,917733
NC_642,918751,918911
NC_643,919554,919633
NC_644,920690,920740
NC_645,921134,921190
NC_646,921866,921969
NC_647,922876,922893
NC_648,923710,924950
NC_649,927611,927836
NC_650,930486,930952
NC_651,931598,932278
NC_652,932933,933002
NC_653,934032,934719
NC_654,935491,935576
NC_655,936390,936456
NC_656,937318,937592
NC_657,937836,938111
NC_658,940393,940455
NC_659,941107,941189
NC_660,942468,942679
NC_661,944195,944342
NC_662,944736,944937
NC_663,948469,948558
NC_664,949396,949435
NC_665,951119,951182
NC_666,951627,951631
NC_667,952712,952824
NC_668,953230,953256
NC_669,954921,955076
NC_670,956289,956292
NC_671,958456,958522
NC_672,960152,960341
NC_673,962881,962889
NC_674,964295,964311
NC_675,965536,965982
NC_676,966262,966264
NC_677,967734,967897
NC_678,968306,968423
NC_679,970245,970504
NC_680,972458,972545
NC_681,973707,973805
NC_682,975938,976074
NC_683,976864,976871
NC_684,978204,978480
NC_685,978757,978933
NC_686,981268,981423
NC_687,982555,982761
NC_688,983785,983802
NC_689,985972,987232
NC_690,988706,988739
NC_691,989862,989947
NC_692,992597,992597
NC_693,993456,993852
NC_694,996296,996523
NC_695,997706,997781
NC_696,999300,999471
NC_697,1000768,1000807
NC_698,1002416,1002440
NC_699,1002705,1002811
NC_700,1003793,1003804
NC_701,1004485,1004500
NC_702,1005842,1005851
NC_703,1006563,1006692
NC_704,1008181,1008206
NC_705,1008939,1008943
NC_706,1010063,1010135
NC_707,1014125,1014680
NC_708,1014861,1014865
NC_709,1015301,1015397
NC_710,1016172,1016235
NC_711,1016686,1017216
NC_712,1018726,1018726
NC_713,1019966,1020057
NC_714,1021330,1021343
NC_715,1021644,1022086
NC_716,1023869,1024210
NC_717,1025185,1025496
NC_718,1026817,1027103
NC_719,1029338,1029512
NC_720,1031865,1031895
NC_721,1032634,1032709
NC_722,1033787,1033839
NC_723,1034632,1034902
NC_724,1036016,1036027
NC_725,1039915,1039935
NC_726,1041049,1041263
NC_727,1042095,1042114
NC_728,1043240,1043298
NC_729,1044316,1044316
NC_730,1046021,1046135
NC_731,1050347,1050592
NC_732,1051460,1051543
NC_733,1052318,1052359
NC_734,1052639,1052695
NC_735,1053737,1053764
NC_736,1054242,1054246
NC_737,1055009,1055023
NC_738,1056686,1057299
NC_739,1057531,1057645
NC_740,1057964,1058259
NC_741,1060576,1060655
NC_742,1061655,1061963
NC_743,1063128,1063139
NC_744,1064052,1064113
NC_745,1064963,1065126
NC_746,1066039,1066077
NC_747,1067446,1067560
NC_748,1069777,1069882
NC_749,1073274,1073326
NC_750,1073929,1074073
NC_751,1074422,1074439
NC_752,1075115,1075296
NC_753,1076098,1076195
NC_754,1076679,1076777
NC_755,1077198,1077232
NC_756,1077836,1077974
NC_757,1078335,1078390
NC_758,1078688,1078742
NC_759,1081685,1081774
NC_760,1085751,1085755
NC_761,1087346,1087347
NC_762,1090176,1090372
NC_763,1093145,1093360
NC_764,1094357,1094669
NC_765,1094865,1094885
NC_766,1095060,1095077
NC_767,1096452,1096821
NC_768,1099023,1099065
NC_769,1101006,1101024
NC_770,1101481,1101802
NC_771,1105110,1105115
NC_772,1106277,1106404
NC_773,1107383,1107442
NC_774,1108100,1108171
NC_775,1108505,1108577
NC_776,1109172,1109271
NC_777,1110193,1110268
NC_778,1111550,1111611
NC_779,1112224,1112383
NC_780,1113461,1114292
NC_781,1114725,1114747
NC_782,1115750,1115766
NC_783,1116526,1116530
NC_784,1117149,1117184
NC_785,1118394,1118427
NC_786,1119940,1120021
NC_787,1120880,1120888
NC_788,1122149,1122221
NC_789,1123599,1123713
NC_790,1125418,1125443
NC_791,1127004,1127088
NC_792,1127884,1128090
NC_793,1130106,1130190
NC_794,1131112,1131127
NC_795,1131422,1131624
NC_796,1133260,1133332
NC_797,1133909,1133920
NC_798,1134569,1134784
NC_799,1135466,1135500
NC_800,1136482,1136572
NC_801,1138061,1138314
NC_802,1138909,1138966
NC_803,1143649,1143735
NC_804,1144468,1144563
NC_805,1145854,1145857
NC_806,1146545,1146560
NC_807,1147979,1148426
NC_808,1151687,1151919
NC_809,1156423,1156425
NC_810,1157956,1157962
NC_811,1158737,1158917
NC_812,1159308,1159374
NC_813,1160062,1160094
NC_814,1160434,1160543
NC_815,1160829,1160854
NC_816,1161152,1161296
NC_817,1162473,1162548
NC_818,1163377,1164571
NC_819,1165500,1165780
NC_820,1166807,1167052
NC_821,1168555,1168703
NC_822,1169229,1169422
NC_823,1170671,1171037
NC_824,1172154,1172385
NC_825,1172833,1172880
NC_826,1173787,1173944
NC_827,1174701,1175722
NC_828,1176287,1176927
NC_829,1177374,1177627
NC_830,1178393,1179395
NC_831,1180578,1180683
NC_832,1182316,1182390
NC_833,1183456,1183507
NC_834,1183982,1184014
NC_835,1184879,1184882
NC_836,1186824,1186903
NC_837,1187324,1187434
NC_838,1188394,1188420
NC_839,1190425,1190756
NC_840,1192149,1192509
NC_841,1195044,1195054
NC_842,1196093,1196278
NC_843,1197116,1197230
NC_844,1198083,1198155
NC_845,1199374,1199425
NC_846,1200371,1200766
NC_847,1201661,1201716
NC_848,1203112,1203312
NC_849,1204036,1204066
NC_850,1205234,1205303
NC_851,1205799,1205983
NC_852,1206419,1206519
NC_853,1209658,1209755
NC_854,1210485,1210594
NC_855,1211384,1211559
NC_856,1213864,1214039
NC_857,1214361,1214512
NC_858,1215132,1215516
NC_859,1216055,1216468
NC_860,1219031,1219247
NC_861,1220187,1220573
NC_862,1221855,1221958
NC_863,1222787,1222996
NC_864,1224299,1224384
NC_865,1225261,1225262
NC_866,1227566,1227595
NC_867,1229385,1229390
NC_868,1230549,1230659
NC_869,1231292,1231300
NC_870,1231991,1232310
NC_871,1232827,1232843
NC_872,1233957,1233965
NC_873,1236096,1236184
NC_874,1237193,1237208
NC_875,1238193,1238254
NC_876,1239329,1239415
NC_877,1239985,1240186
NC_878,1240886,1241002
NC_879,1241391,1241632
NC_880,1241957,1241970
NC_881,1242832,1242863
NC_882,1243505,1243706
NC_883,1245108,1245128
NC_884,1247053,1247126
NC_885,1248078,1248081
NC_886,1249327,1249329
NC_887,1251405,1251616
NC_888,1252973,1253073
NC_889,1254535,1254554
NC_890,1257314,1257324
NC_891,1259056,1259066
NC_892,1261347,1261921
NC_893,1262159,1262271
NC_894,1264129,1264313
NC_895,1264557,1264605
NC_896,1264948,1265086
NC_897,1265456,1265471
NC_898,1266986,1267346
NC_899,1268196,1268202
NC_900,1269010,1269151
NC_901,1269959,1270061
NC_902,1271145,1271155
NC_903,1271909,1272422
NC_904,1273335,1273354
NC_905,1274768,1274899
NC_906,1275551,1276299
NC_907,1277749,1277892
NC_908,1278821,1278903
NC_909,1279618,1279654
NC_910,1281873,1282305
NC_911,1282894,1283055
NC_912,1284172,1284178
NC_913,1284863,1284991
NC_914,1286569,1286594
NC_915,1287021,1287327
NC_916,1291027,1291064
NC_917,1292742,1292797
NC_918,1293404,1293405
NC_919,1294147,1294167
NC_920,1296055,1296151
NC_921,1298060,1298086
NC_922,1298693,1298763
NC_923,1299805,1299821
NC_924,1300125,1300303
NC_925,1301216,1301306
NC_926,1301748,1301754
NC_927,1302682,1302930
NC_928,1305502,1305668
NC_929,1306002,1306201
NC_930,1308793,1309004
NC_931,1309332,1309363
NC_932,1310453,1310479
NC_933,1313300,1313724
NC_934,1315192,1315233
NC_935,1319983,1320034
NC_936,1321454,1321519
NC_937,1324529,1324531
NC_938,1325612,1325775
NC_939,1327513,1327688
NC_940,1329306,1329389
NC_941,1332011,1332091
NC_942,1332965,1332979
NC_943,1333859,1333930
NC_944,1334846,1334926
NC_945,1335755,1335793
NC_946,1337216,1337247
NC_947,1338514,1339002
NC_948,1339303,1339348
NC_949,1340525,1340658
NC_950,1340956,1341005
NC_951,1341291,1341357
NC_952,1342606,1342941
NC_953,1345170,1345259
NC_954,1346906,1346935
NC_955,1348625,1348718
NC_956,1349283,1349331
NC_957,1351126,1351190
NC_958,1353119,1353156
NC_959,1354137,1354242
NC_960,1354471,1354497
NC_961,1355662,1355835
NC_962,1357051,1357292
NC_963,1357626,1357758
NC_964,1359445,1359471
NC_965,1360147,1360154
NC_966,1363362,1363502
NC_967,1364151,1364412
NC_968,1365187,1365343
NC_969,1365809,1365874
NC_970,1367462,1367462
NC_971,1367859,1367890
NC_972,1368722,1368831
NC_973,1370826,1370919
NC_974,1371478,1371776
NC_975,1372950,1372961
NC_976,1374198,1374321
NC_977,1376169,1376229
NC_978,1376827,1376975
NC_979,1377504,1377523
NC_980,1379851,1379854
NC_981,1380680,1380683
NC_982,1381866,1381941
NC_983,1383043,1383212
NC_984,1384203,1384277
NC_985,1384967,1384988
NC_986,1386678,1386856
NC_987,1387718,1387797
NC_988,1388629,1388684
NC_989,1389245,1389356
NC_990,1393053,1393193
NC_991,1393983,1394178
NC_992,1399241,1399295
NC_993,1399905,1399969
NC_994,1404604,1404716
NC_995,1408239,1408239
NC_996,1409359,1409483
NC_997,1409934,1409937
NC_998,1410373,1410430
NC_999,1411820,1411893
NC_1000,1413088,1413259
NC_1001,1413941,1413959
NC_1002,1415841,1416180
NC_1003,1417348,1417657
NC_1004,1418357,1418578
NC_1005,1418954,1419013
NC_1006,1419749,1419960
NC_1007,1420303,1420409
NC_1008,1424051,1424196
NC_1009,1425294,1425437
NC_1010,1425915,1426163
NC_1011,1430042,1430061
NC_1012,1431649,1431664
NC_1013,1437118,1437323
NC_1014,1437816,1437908
NC_1015,1440752,1440804
NC_1016,1441291,1441347
NC_1017,1442719,1442766
NC_1018,1443400,1443481
NC_1019,1445048,1445057
NC_1020,1445373,1445498
NC_1021,1445835,1446378
NC_1022,1449372,1449374
NC_1023,1451780,1451996
NC_1024,1452948,1453203
NC_1025,1455013,1455162
NC_1026,1455406,1455494
NC_1027,1457543,1457557
NC_1028,1458212,1458294
NC_1029,1459510,1459765
NC_1030,1460997,1461044
NC_1031,1461291,1461320
NC_1032,1461837,1461842
NC_1033,1463184,1463227
NC_1034,1464878,1464883
NC_1035,1465802,1465840
NC_1036,1467302,1467314
NC_1037,1467681,1467687
NC_1038,1468132,1468170
NC_1039,1469506,1469670
NC_1040,1470253,1470320
NC_1041,1471578,1477133
NC_1042,1479119,1479198
NC_1043,1480825,1480893
NC_1044,1482502,1482513
NC_1045,1484218,1484278
NC_1046,1484960,1484981
NC_1047,1485279,1485312
NC_1048,1485772,1485861
NC_1049,1487032,1487160
NC_1050,1488076,1488153
NC_1051,1489966,1490116
NC_1052,1492313,1492319
NC_1053,1494426,1494563
NC_1054,1497156,1497194
NC_1055,1499190,1499212
NC_1056,1500560,1500660
NC_1057,1501583,1501598
NC_1058,1502634,1502640
NC_1059,1503082,1503102
NC_1060,1503385,1503393
NC_1061,1505891,1505916
NC_1062,1506739,1506754
NC_1063,1507535,1507572
NC_1064,1508924,1508967
NC_1065,1512606,1513046
NC_1066,1517363,1517490
NC_1067,1518561,1518762
NC_1068,1519135,1519199
NC_1069,1519986,1520004
NC_1070,1521877,1521884
NC_1071,1524821,1525292
NC_1072,1526217,1526611
NC_1073,1530092,1530172
NC_1074,1530926,1531347
NC_1075,1532371,1532442
NC_1076,1533634,1533947
NC_1077,1535393,1535682
NC_1078,1537645,1537782
NC_1079,1538170,1538389
NC_1080,1539441,1539511
NC_1081,1540646,1541019
NC_1082,1541806,1541993
NC_1083,1543256,1543358
NC_1084,1546007,1546011
NC_1085,1546993,1547071
NC_1086,1547531,1547831
NC_1087,1551218,1551227
NC_1088,1561270,1561463
NC_1089,1563389,1563693
NC_1090,1564267,1564400
NC_1091,1565028,1565092
NC_1092,1565426,1565440
NC_1093,1566698,1566824
NC_1094,1568037,1568108
NC_1095,1570970,1571046
NC_1096,1572082,1572126
NC_1097,1573858,1574111
NC_1098,1574768,1574849
NC_1099,1575810,1575833
NC_1100,1576797,1576929
NC_1101,1577533,1577612
NC_1102,1579581,1579597
NC_1103,1580423,1580590
NC_1104,1581074,1581144
NC_1105,1581970,1582165
NC_1106,1584475,1584498
NC_1107,1587767,1587771
NC_1108,1588483,1588566
NC_1109,1589173,1589385
NC_1110,1590293,1590396
NC_1111,1592615,1592638
NC_1112,1593326,1593504
NC_1113,1593979,1594041
NC_1114,1598884,1598892
NC_1115,1599655,1599657
NC_1116,1601038,1601058
NC_1117,1603929,1603931
NC_1118,1604760,1604877
NC_1119,1606147,1606385
NC_1120,1607973,1608082
NC_1121,1611271,1611433
NC_1122,1612250,1612255
NC_1123,1612951,1613306
NC_1124,1614327,1614328
NC_1125,1616350,1616960
NC_1126,1617387,1617836
NC_1127,1618071,1618208
NC_1128,1619685,1619790
NC_1129,1622092,1622206
NC_1130,1622693,1623286
NC_1131,1623698,1623713
NC_1132,1625366,1625417
NC_1133,1628081,1628096
NC_1134,1630200,1630637
NC_1135,1634628,1635028
NC_1136,1635956,1636003
NC_1137,1638230,1638380
NC_1138,1639647,1639673
NC_1139,1640661,1640679
NC_1140,1642426,1642536
NC_1141,1644261,1644362
NC_1142,1646139,1646185
NC_1143,1651517,1651517
NC_1144,1653579,1653672
NC_1145,1655503,1655608
NC_1146,1656722,1656962
NC_1147,1658937,1658979
NC_1148,1659355,1659369
NC_1149,1659742,1659762
NC_1150,1660621,1660655
NC_1151,1662285,1662380
NC_1152,1662573,1662640
NC_1153,1663205,1663214
NC_1154,1666047,1666203
NC_1155,1666765,1666989
NC_1156,1668409,1668418
NC_1157,1669145,1669282
NC_1158,1671367,1671376
NC_1159,1672385,1672456
NC_1160,1673300,1673439
NC_1161,1674184,1674201
NC_1162,1675012,1675016
NC_1163,1676884,1676940
NC_1164,1677376,1677396
NC_1165,1678543,1678551
NC_1166,1678909,1678941
NC_1167,1679173,1679321
NC_1168,1680630,1681207
NC_1169,1681967,1682156
