"sample_id","failed","reason","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop"
"S0279-06.filtered.vcf.gz",FALSE,NA,3,-1790.05926353127,0.00242962962962963,0,2.6110582698446e-76,53.0426,3,9,"4.3.2.1",0.1681
"S0280-06.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0281-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0288-01.filtered.vcf.gz",FALSE,NA,3,-1158.79782771685,0.00197283950617284,0,7.6968481325685e-38,73.8776,1,9,"4.3.2.1",0.2286
"S0288-01.filtered.vcf.gz",FALSE,NA,3,-1158.79782771685,0.00197283950617284,0,7.6968481325685e-38,73.8776,2,65,"2.2.M1.1",0.4146
"S0288-01.filtered.vcf.gz",FALSE,NA,3,-1158.79782771685,0.00197283950617284,0,7.6968481325685e-38,73.8776,3,128,"4.9",0.3568
"S0291-09.filtered.vcf.gz",FALSE,NA,2,-993.67922273124,0.00215555555555556,0,2.67470510436492e-07,11.2343,1,158,"4.1.2",0.8541
"S0291-09.filtered.vcf.gz",FALSE,NA,2,-993.67922273124,0.00215555555555556,0,2.67470510436492e-07,11.2343,2,57,"4.1.1.1",0.1459
"S0298-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0301-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0307-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0314-m5.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0325-01.filtered.vcf.gz",FALSE,NA,2,-700.511924628569,0.000922222222222222,0,2.4287907505285e-25,60.681,1,40,"2.2.M4.4",0.821
"S0325-01.filtered.vcf.gz",FALSE,NA,2,-700.511924628569,0.000922222222222222,0,2.4287907505285e-25,60.681,2,57,"4.1.1.1",0.179
"S0326-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0334-01B.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0334-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0338-01.filtered.vcf.gz",FALSE,NA,1,-297.384349805166,0.000465432098765432,0,-1,Inf,1,9,"4.3.2.1",1
"S0340-01.filtered.vcf.gz",FALSE,NA,3,-1713.24286712997,0.00229259259259259,0,1.71747346070167e-16,32.7018,1,128,"4.9",0.6336
"S0340-01.filtered.vcf.gz",FALSE,NA,3,-1713.24286712997,0.00229259259259259,0,1.71747346070167e-16,32.7018,2,40,"2.2.M4.4",0.2203
"S0340-01.filtered.vcf.gz",FALSE,NA,3,-1713.24286712997,0.00229259259259259,0,1.71747346070167e-16,32.7018,3,9,"4.3.2.1",0.1461
"S0341-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0348-01.filtered.vcf.gz",FALSE,NA,3,-1592.241672838,0.00284074074074074,0,2.6323810189152e-10,28.819,1,128,"4.9",0.5693
"S0348-01.filtered.vcf.gz",FALSE,NA,3,-1592.241672838,0.00284074074074074,0,2.6323810189152e-10,28.819,2,65,"2.2.M1.1",0.2983
"S0348-01.filtered.vcf.gz",FALSE,NA,3,-1592.241672838,0.00284074074074074,0,2.6323810189152e-10,28.819,3,9,"4.3.2.1",0.1324
"S0351-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0370-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0372-01.filtered.vcf.gz",FALSE,NA,1,-463.579090068343,0.0011962962962963,0,-1,Inf,1,65,"2.2.M1.1",1
"S0377-01B.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0387-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0391-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0401-01B.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0475-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0476-01.filtered.vcf.gz",FALSE,NA,3,-895.247801684418,0.0011962962962963,0,0.00117546615664806,22.3272,1,43,"3.1.3.1",0.8343
"S0476-01.filtered.vcf.gz",FALSE,NA,3,-895.247801684418,0.0011962962962963,0,0.00117546615664806,22.3272,2,156,"4.1.1.3",0.097
"S0476-01.filtered.vcf.gz",FALSE,NA,3,-895.247801684418,0.0011962962962963,0,0.00117546615664806,22.3272,3,147,"2.2.M4",0.0687
