Original_ID	PacBio_FQ_PATH	Dataset_Tag	PacBio_ID	Illumina_ID	Kraken_Unclassified_Percent	F2	Coll2014	#sample	PacBio_fastlin_mixture	PacBio_fastlin_output	PacBio_fastlin	Illumina_FQ_PATH
S0085-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2007.ccs.fastq.gz	TRUST_PB_Set1	MFS-52	MFS-52	0.97	0.0101477320998725	2.2.1.1	TRUST.bc2007.ccs	no	2.2.1.1 (30)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-52
S0106-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2009.ccs.fastq.gz	TRUST_PB_Set1	MFS-56	MFS-56	0.52	0.0186979774015843	4.1.1.3	TRUST.bc2009.ccs	no	4.1.1.3 (62)	4.1.1.3	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-56
S0123-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2012.ccs.fastq.gz	TRUST_PB_Set1	MFS-60	MFS-60	0.53	0.0090299448907775	4.4.1.1	TRUST.bc2012.ccs	no	4.4.1.1 (49)	4.4.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-60
S0123-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2013.ccs.fastq.gz	TRUST_PB_Set1	MFS-61	MFS-61	0.46	0.0087948252383113	4.4.1.1	TRUST.bc2013.ccs	no	4.4.1.1 (61)	4.4.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-61
S0171-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2015.ccs.fastq.gz	TRUST_PB_Set1	MFS-90	MFS-90	1.13	0.0088577305738633	4.3.2.1	TRUST.bc2015.ccs	no	4.3.2.1 (43)	4.3.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-90
S0262-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2020.ccs.fastq.gz	TRUST_PB_Set1	MFS-181	MFS-181	0.53	0.0094869992972593	4.4.1.1	TRUST.bc2020.ccs	no	4.4.1.1 (42)	4.4.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-181
S0141-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2041--bc2041.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-228	MFS-70	0.49	0.0121729128726157	2.2.1	demultiplex.bc2041--bc2041.hifi_reads	no	2.2.1 (86)	2.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-70
S0131-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2042--bc2042.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-226	MFS-64	0.42	0.0116916859122401	2.2.1.1	demultiplex.bc2042--bc2042.hifi_reads	no	2.2.1.1 (79)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-64
S0276-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2043--bc2043.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-321	MFS-321	0.68	0.0116623003464886	2.2.1	demultiplex.bc2043--bc2043.hifi_reads	no	2.2.1 (101)	2.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-321
S0064-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2044--bc2044.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-207	MFS-37	0.6	0.0114828657630476	2.2.1	demultiplex.bc2044--bc2044.hifi_reads	no	2.2.1 (104)	2.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-37
S0041-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2045--bc2045.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-200	MFS-22	0.86	0.0096797612325562	2.2.1.1	demultiplex.bc2045--bc2045.hifi_reads	no	2.2.1.1 (120)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-22
S0249-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2046--bc2046.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-247	MFS-162	1.2	0.0095288915993291	2.2.1	demultiplex.bc2046--bc2046.hifi_reads	no	2.2.1 (113)	2.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-162
S0284-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2047--bc2047.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-326	MFS-326	0.43	0.0138182102873248	2.2.1.1	demultiplex.bc2047--bc2047.hifi_reads	no	2.2.1.1 (103)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-326
S0284-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2048--bc2048.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-325	MFS-325	0.53	0.0114666051599723	2.2.1.1	demultiplex.bc2048--bc2048.hifi_reads	no	2.2.1.1 (92)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-325
S0211-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2049--bc2049.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-237	MFS-121	0.67	0.0104191747838459	2.2.1.1	demultiplex.bc2049--bc2049.hifi_reads	no	2.2.1.1 (69)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-121
S0018-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2050--bc2050.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-216	MFS-7	0.55	0.0107060715230709	2.2.1.1	demultiplex.bc2050--bc2050.hifi_reads	no	2.2.1.1 (90)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-7
S0321-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2051--bc2051.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-330	MFS-330	0.66	0.0120868812238418	2.2.1.1	demultiplex.bc2051--bc2051.hifi_reads	no	2.2.1.1 (66)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-330
S0212-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2052--bc2052.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-238	MFS-122	1.59	0.0103072797182461	2.2.1.1	demultiplex.bc2052--bc2052.hifi_reads	no	2.2.1.1 (77)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-122
S0276-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2053--bc2053.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-322	MFS-322	0.62	0.0137652659904781	2.2.1	demultiplex.bc2053--bc2053.hifi_reads	no	2.2.1 (81)	2.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-322
S0142-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2056--bc2056.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-229	MFS-71	0.52	0.0114902907043548	2.2.1.1	demultiplex.bc2056--bc2056.hifi_reads	no	2.2.1.1 (81)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-71
S0186-06	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2057--bc2057.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-235	MFS-105	0.53	0.0077881619937694	4.8	demultiplex.bc2057--bc2057.hifi_reads	no	4.8 (54)	4.8	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-105
S0077-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2058--bc2058.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-212	MFS-43	0.47	0.021398532200874	4.1.2.1	demultiplex.bc2058--bc2058.hifi_reads	no	4.1.1.3 (74)	4.1.1.3	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-43
S0223-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2059--bc2059.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-239	MFS-132	0.68	0.0103585391118388	2.2.1.1	demultiplex.bc2059--bc2059.hifi_reads	no	2.2.1.1 (74)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-132
S0311-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2060--bc2060.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-318	MFS-318	0.65	0.0123098691192076	2.2.1.1	demultiplex.bc2060--bc2060.hifi_reads	no	2.2.1.1 (79)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-318
S0248-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2061--bc2061.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-246	MFS-161	0.6	0.0108002210277791	2.2.1.1	demultiplex.bc2061--bc2061.hifi_reads	no	2.2.1.1 (73)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-161
S0285-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2062--bc2062.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-328	MFS-328	0.41	0.0125889091710203	4.3.2.1	demultiplex.bc2062--bc2062.hifi_reads	no	4.3.2.1 (91)	4.3.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-328
S0283-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2063--bc2063.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-324	MFS-324	0.38	0.0109474302927886	2.2.1.1	demultiplex.bc2063--bc2063.hifi_reads	no	2.2.1.1 (85)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-324
S0082-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2064--bc2064.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-214	MFS-47	0.62	0.0121859967931587	3.1.1	demultiplex.bc2064--bc2064.hifi_reads	no	3.1.1 (81)	3.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-47
S0184-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2065--bc2065.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-232	MFS-102	0.91	0.0186685147485597	4.1.1.3	demultiplex.bc2065--bc2065.hifi_reads	yes	4.1.2.1 (22), 4.1.1.3 (52)	4.1.1.3,4.1.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-102
S0165-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2066--bc2066.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-230	MFS-83	0.68	0.0088780572721733	4.1.1.1	demultiplex.bc2066--bc2066.hifi_reads	no	4.1.1.1 (88)	4.1.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-83
S0189-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2067--bc2067.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-236	MFS-107	0.52	0.007513453142451	4.1.1.1	demultiplex.bc2067--bc2067.hifi_reads	no	2.2.1 (84)	2.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-107
S0225-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2068--bc2068.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-240	MFS-135	0.39	0.0098537455871513	3	demultiplex.bc2068--bc2068.hifi_reads	no	3 (60)	3	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-135
S0180-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2069--bc2069.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-231	MFS-97	0.78	0.0102006874376316	2.2.1.1	demultiplex.bc2069--bc2069.hifi_reads	no	2.2.1.1 (71)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-97
S0186-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2070--bc2070.hifi_reads.fastq.gz	TRUST_PB_Set2	MFS-234	MFS-104	0.57	0.0099063078116607	4.8	demultiplex.bc2070--bc2070.hifi_reads	no	4.8 (96)	4.8	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-104
S0209-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2001--bc2001.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-254	MFS-119	0.52	0.0105746030800393	2.2.1.1	m64142_221216_110244.bc2001--bc2001.hifi_reads	no	2.2.1.1 (285)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-119
S0209-06	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2002--bc2002.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-255	MFS-120	0.77	0.0105666854399656	2.2.1.1	m64142_221216_110244.bc2002--bc2002.hifi_reads	no	2.2.1.1 (208)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-120
S0220-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2003--bc2003.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-256	MFS-130	0.56	0.0117018361194847	2.2.1.1	m64142_221216_110244.bc2003--bc2003.hifi_reads	no	2.2.1.1 (209)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-130
S0291-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2009--bc2009.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-308	MFS-308	0.98	0.0184739664952435	4.1.2	m64142_221216_110244.bc2009--bc2009.hifi_reads	no	4.1.2 (236)	4.1.2	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-308
S0291-09	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2010--bc2010.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-309	MFS-309	0.7	0.0210344522185811	4.1.2	m64142_221216_110244.bc2010--bc2010.hifi_reads	no	4.1.2 (191)	4.1.2	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-309
S0305-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2013--bc2013.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-313	MFS-313	0.91	0.4368104013836703	2.2.1.1,4.3.2.1	m64142_221216_110244.bc2013--bc2013.hifi_reads	yes	2.2.1.1 (95), 4.3.2.1 (137)	2.2.1.1,4.3.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-313
S0310-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2014--bc2014.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-316	MFS-316	0.43	0.0118993309002433	2.2.1.1	m64142_221216_110244.bc2014--bc2014.hifi_reads	no	2.2.1.1 (197)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-316
S0265-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2017--bc2017.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-249	MFS-184	0.74	0.0120504059664205	2.2.1	m64142_221216_110244.bc2017--bc2017.hifi_reads	no	2.2.1 (92)	2.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-184
S0188-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2018--bc2018.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-192	MFS-106	0.46	0.005929156147196	4.3.3	m64142_221216_110244.bc2018--bc2018.hifi_reads	no	4.3.3 (40)	4.3.3	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-106
S0008-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2020--bc2020.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-195	MFS-4	0.46	0.0070249453292822	4.1.1.1	m64142_221216_110244.bc2020--bc2020.hifi_reads	no	4.1.1.1 (107)	4.1.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-4
S0045-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2022--bc2022.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-201	MFS-25	0.59	0.0104013213695817	4.3.2.1	m64142_221216_110244.bc2022--bc2022.hifi_reads	no	4.3.2.1 (133)	4.3.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-25
S0047-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2023--bc2023.hifi_reads.fastq.gz	TRUST_PB_Set3	MFS-202	MFS-27	0.51	0.0084480865084058	4.8	m64142_221216_110244.bc2023--bc2023.hifi_reads	no	4.8 (105)	4.8	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-27
